"Concurso";"UF"
2;"PR"
3;"RN"
3;"SP"
11;"RJ"
17;"SP"
29;"RS"
33;"MG"
41;"BA"
49;"RJ"
54;"BA"
54;"SP"
58;"SP"
63;"MG"
73;"BA"
79;"RS"
82;"BA"
90;"RJ"
159;"PR"
195;"AM"
199;"SP"
201;"RN"
205;"RJ"
213;"PR"
213;"RS"
213;"SC"
216;"BA"
216;"MG"
216;"RJ"
216;"SP"
218;"PR"
220;"SP"
226;"SP"
229;"AM"
233;"DF"
233;"SP"
233;"SP"
233;"SP"
233;"SP"
238;"BA"
238;"SP"
238;"SP"
238;"SP"
239;"BA"
245;"GO"
245;"MG"
245;"SC"
252;"DF"
252;"SP"
257;"RJ"
264;"CE"
264;"SP"
270;"SP"
273;"PE"
281;"PR"
282;"RJ"
283;"SP"
284;"PR"
287;"TO"
294;"PR"
294;"SP"
298;"PR"
303;"MS"
308;"RS"
309;"RS"
315;"PR"
318;"SP"
325;"AM"
325;"SP"
328;"SP"
334;"SP"
334;"SP"
343;"PR"
343;"RJ"
345;"SP"
354;"SP"
362;"RJ"
364;"SC"
365;"MG"
367;"BA"
369;"CE"
372;"SP"
372;"SP"
385;"DF"
385;"MG"
390;"SC"
392;"SP"
395;"DF"
398;"CE"
408;"RJ"
414;"MS"
418;"ES"
418;"MG"
425;"DF"
430;"PR"
442;"SP"
446;"RS"
446;"SP"
457;"CE"
457;"CE"
457;"SP"
464;"RS"
469;"AL"
469;"RO"
477;"AM"
477;"RN"
477;"RS"
481;"AC"
481;"MT"
481;"SP"
486;"SP"
487;"SE"
487;"SE"
490;"RJ"
491;"RJ"
499;"PE"
500;"PR"
502;"MS"
502;"SP"
507;"MG"
507;"SP"
510;"MA"
510;"SP"
512;"MS"
512;"RJ"
512;"RJ"
524;"SC"
525;"MG"
525;"SP"
529;"BA"
529;"CE"
529;"CE"
529;"PB"
529;"PB"
529;"PB"
529;"PE"
529;"PE"
529;"PE"
529;"PE"
529;"PE"
529;"PI"
529;"PI"
529;"RN"
529;"RN"
534;"MT"
535;"DF"
537;"RS"
541;"MG"
543;"PR"
545;"ES"
547;"PB"
555;"PR"
559;"ES"
569;"RJ"
575;"DF"
575;"SP"
578;"MG"
579;"PB"
581;"SP"
585;"MG"
598;"DF"
598;"RS"
603;"SP"
606;"SP"
617;"RJ"
617;"SP"
624;"MG"
628;"SP"
629;"SE"
631;"PR"
641;"MG"
647;"SP"
648;"MG"
648;"RJ"
648;"SC"
654;"MG"
657;"PR"
667;"SP"
669;"SP"
679;"RJ"
685;"SP"
696;"MA"
696;"MG"
707;"MG"
707;"RO"
715;"GO"
715;"MA"
715;"SP"
715;"RJ"
716;"RJ"
725;"MG"
725;"RJ"
729;"MG"
734;"MG"
740;"PR"
746;"RS"
746;"SP"
753;"BA"
764;"PA"
768;"MG"
774;"PA"
783;"MT"
785;"RJ"
791;"SP"
804;"SP"
811;"RS"
811;"SP"
820;"SP"
820;"SP"
832;"GO"
834;"SP"
837;"GO"
847;"RS"
848;"MG"
851;"SP"
851;"SP"
851;"SP"
858;"PR"
858;"SP"
861;"ES"
862;"RS"
869;"SP"
875;"SP"
882;"SC"
888;"DF"
898;"RO"
898;"SC"
900;"DF"
905;"RJ"
