"Concurso";"Data_Sorteio";"Arrecadacao_Total";"Ganhadores_Sena";"Cidade";"UF";"Rateio_Sena";"Ganhadores_Quina";"Rateio_Quina";"Ganhadores_Quadra";"Rateio_Quadra";"Acumulado";"Valor_Acumulado";"Estimativa_Premio";"Acumulado_Mega_da_Virada"
1;1996-03-11;0;0;NA;NA;0;17;39158.92;2016;330.21;TRUE;1714650.23;0;0
2;1996-03-18;0;1;NA;"PR";2307162.23;65;14424.02;4488;208.91;FALSE;0;0;0
3;1996-03-25;0;2;NA;"RN,SP";391192.51;62;10515.93;4261;153.01;FALSE;0;0;0
4;1996-04-01;0;0;NA;NA;0;39;15322.24;3311;180.48;TRUE;717080.75;0;0
5;1996-04-08;0;0;NA;NA;0;98;5318.1;5399;96.53;TRUE;1342488.85;0;0
6;1996-04-15;0;0;NA;NA;0;109;7214.66;7147;110.03;TRUE;2286166.33;0;0
7;1996-04-22;0;0;NA;NA;0;100;8746.05;5736;152.48;TRUE;3335692.28;0;0
8;1996-04-29;0;0;NA;NA;0;60;16084.11;5262;18.34;TRUE;4493748.19;0;0
9;1996-05-06;0;0;NA;NA;0;17;60043.79;2175;469.31;TRUE;5718641.49;0;0
10;1996-05-13;0;0;NA;NA;0;251;6638.45;12590;132.35;TRUE;13334769.81;0;0
11;1996-05-20;0;1;NA;"RJ";15591365.07;148;12706.05;9442;199.16;FALSE;0;0;0
12;1996-05-27;0;0;NA;NA;0;108;6791.17;6454;113.64;TRUE;880136.24;0;0
13;1996-06-03;0;0;NA;NA;0;43;20543.98;2934;301.09;TRUE;1940205.35;0;0
14;1996-06-10;0;0;NA;NA;0;85;10458.19;5323;1.67;TRUE;3006941.32;0;0
15;1996-06-17;0;0;NA;NA;0;57;17919.89;3931;259.84;TRUE;4232661.35;0;0
16;1996-06-24;0;0;NA;NA;0;31;33307.13;3250;31.77;TRUE;5471686.62;0;0
17;1996-07-01;0;1;NA;"SP";6789869.08;144;7628.37;9376;117.16;FALSE;0;0;0
18;1996-07-08;0;0;NA;NA;0;52;13763.52;4484;159.61;TRUE;858843.48;0;0
19;1996-07-15;0;0;NA;NA;0;159;5380.14;9250;92.48;TRUE;10506266.73;0;0
20;1996-07-22;0;0;NA;NA;0;72;15486.97;5728;194.67;TRUE;11844340.83;0;0
21;1996-07-29;0;0;NA;NA;0;63;17694.19;5030;221.62;TRUE;13182021.44;0;0
22;1996-08-05;0;0;NA;NA;0;47;27212.9;4865;26.29;TRUE;14716828.84;0;0
23;1996-08-12;0;0;NA;NA;0;74;20198.46;4897;305.23;TRUE;16510452;0;0
24;1996-08-19;0;1;NA;NA;18661679.61;227;7897.31;13486;132.93;FALSE;0;0;0
